"stateBirths","Date","dayAvg","state_id"
11044,"0301",356,13
10364,"0302",370,13
11026,"0303",356,13
10839,"0304",361,13
11291,"0305",364,13
10862,"0306",362,13
11879,"0307",383,13
12111,"0308",391,13
12038,"0309",401,13
11931,"0310",385,13
10860,"0311",362,13
11734,"0312",379,13
11325,"0401",365,13
10563,"0402",364,13
11561,"0403",373,13
11061,"0404",369,13
11249,"0405",363,13
11420,"0406",381,13
12163,"0407",392,13
12030,"0408",388,13
12062,"0409",402,13
11845,"0410",382,13
11428,"0411",381,13
12142,"0412",392,13
11624,"0501",375,13
10686,"0502",382,13
11823,"0503",381,13
11043,"0504",368,13
11595,"0505",374,13
11899,"0506",397,13
12330,"0507",398,13
12716,"0508",410,13
12474,"0509",416,13
12000,"0510",387,13
11745,"0511",392,13
12265,"0512",396,13
11947,"0601",385,13
11141,"0602",398,13
12464,"0603",402,13
11117,"0604",371,13
11981,"0605",386,13
12056,"0606",402,13
12610,"0607",407,13
13476,"0608",435,13
13137,"0609",438,13
13175,"0610",425,13
12686,"0611",423,13
12843,"0612",414,13
1442,"0301",47,15
1366,"0302",49,15
1467,"0303",47,15
1433,"0304",48,15
1580,"0305",51,15
1451,"0306",48,15
1518,"0307",49,15
1521,"0308",49,15
1629,"0309",54,15
1608,"0310",52,15
1511,"0311",50,15
1574,"0312",51,15
1499,"0401",48,15
1485,"0402",51,15
1490,"0403",48,15
1480,"0404",49,15
1562,"0405",50,15
1546,"0406",52,15
1491,"0407",48,15
1505,"0408",49,15
1649,"0409",55,15
1585,"0410",51,15
1430,"0411",48,15
1559,"0412",50,15
1497,"0501",48,15
1336,"0502",48,15
1470,"0503",47,15
1493,"0504",50,15
1520,"0505",49,15
1483,"0506",49,15
1475,"0507",48,15
1498,"0508",48,15
1601,"0509",53,15
1499,"0510",48,15
1571,"0511",52,15
1481,"0512",48,15
1638,"0601",53,15
1425,"0602",51,15
1606,"0603",52,15
1455,"0604",48,15
1558,"0605",50,15
1558,"0606",52,15
1574,"0607",51,15
1739,"0608",56,15
1654,"0609",55,15
1659,"0610",54,15
1562,"0611",52,15
1554,"0612",50,15
1701,"0301",55,16
1569,"0302",56,16
1829,"0303",59,16
1889,"0304",63,16
1920,"0305",62,16
1824,"0306",61,16
1969,"0307",64,16
1909,"0308",62,16
1898,"0309",63,16
1843,"0310",59,16
1655,"0311",55,16
1794,"0312",58,16
1739,"0401",56,16
1669,"0402",58,16
1957,"0403",63,16
1927,"0404",64,16
1933,"0405",62,16
1971,"0406",66,16
1961,"0407",63,16
1889,"0408",61,16
1885,"0409",63,16
1922,"0410",62,16
1806,"0411",60,16
1873,"0412",60,16
1838,"0501",59,16
1719,"0502",61,16
1961,"0503",63,16
1873,"0504",62,16
2061,"0505",66,16
1967,"0506",66,16
2005,"0507",65,16
2001,"0508",65,16
1973,"0509",66,16
1920,"0510",62,16
1834,"0511",61,16
1910,"0512",62,16
1846,"0601",60,16
1811,"0602",65,16
2074,"0603",67,16
1870,"0604",62,16
2131,"0605",69,16
2113,"0606",70,16
2142,"0607",69,16
2089,"0608",67,16
2063,"0609",69,16
2097,"0610",68,16
2036,"0611",68,16
1912,"0612",62,16
14609,"0301",471,17
13742,"0302",491,17
15071,"0303",486,17
14556,"0304",485,17
15789,"0305",509,17
15386,"0306",513,17
16647,"0307",537,17
16208,"0308",523,17
15646,"0309",522,17
15667,"0310",505,17
14117,"0311",471,17
15057,"0312",486,17
14518,"0401",468,17
14063,"0402",485,17
15542,"0403",501,17
14892,"0404",496,17
15386,"0405",496,17
15641,"0406",521,17
16181,"0407",522,17
15428,"0408",498,17
14890,"0409",496,17
14961,"0410",483,17
14539,"0411",485,17
14737,"0412",475,17
14163,"0501",457,17
13661,"0502",488,17
15014,"0503",484,17
14869,"0504",496,17
15643,"0505",505,17
15315,"0506",510,17
15683,"0507",506,17
15737,"0508",508,17
15444,"0509",515,17
14641,"0510",472,17
14070,"0511",469,17
14780,"0512",477,17
14146,"0601",456,17
13789,"0602",492,17
15180,"0603",490,17
14241,"0604",475,17
15581,"0605",503,17
15513,"0606",517,17
15973,"0607",515,17
16168,"0608",522,17
15456,"0609",515,17
15363,"0610",496,17
14415,"0611",480,17
14747,"0612",476,17
6825,"0301",220,18
6346,"0302",227,18
7131,"0303",230,18
6927,"0304",231,18
7359,"0305",237,18
7187,"0306",240,18
7735,"0307",250,18
7722,"0308",249,18
7688,"0309",256,18
7435,"0310",240,18
6843,"0311",228,18
7236,"0312",233,18
7004,"0401",226,18
6982,"0402",241,18
7544,"0403",243,18
6994,"0404",233,18
7373,"0405",238,18
7240,"0406",241,18
7788,"0407",251,18
7501,"0408",242,18
7251,"0409",242,18
7187,"0410",232,18
7075,"0411",236,18
7203,"0412",232,18
6859,"0501",221,18
6593,"0502",235,18
7514,"0503",242,18
7089,"0504",236,18
7307,"0505",236,18
7374,"0506",246,18
7469,"0507",241,18
7736,"0508",250,18
7676,"0509",256,18
7312,"0510",236,18
7055,"0511",235,18
7209,"0512",233,18
7084,"0601",229,18
6765,"0602",242,18
7618,"0603",246,18
6894,"0604",230,18
7653,"0605",247,18
7437,"0606",248,18
7667,"0607",247,18
8001,"0608",258,18
7742,"0609",258,18
7640,"0610",246,18
7024,"0611",234,18
7106,"0612",229,18
3028,"0301",98,19
2971,"0302",106,19
3207,"0303",103,19
3072,"0304",102,19
3462,"0305",112,19
3086,"0306",103,19
3327,"0307",107,19
3313,"0308",107,19
3335,"0309",111,19
3339,"0310",108,19
2894,"0311",96,19
3140,"0312",101,19
3093,"0401",100,19
3104,"0402",107,19
3250,"0403",105,19
3167,"0404",106,19
3132,"0405",101,19
3224,"0406",107,19
3308,"0407",107,19
3351,"0408",108,19
3311,"0409",110,19
3205,"0410",103,19
3160,"0411",105,19
3133,"0412",101,19
3107,"0501",100,19
2950,"0502",105,19
3321,"0503",107,19
3180,"0504",106,19
3294,"0505",106,19
3362,"0506",112,19
3411,"0507",110,19
3473,"0508",112,19
3424,"0509",114,19
3234,"0510",104,19
3151,"0511",105,19
3404,"0512",110,19
3157,"0601",102,19
3007,"0602",107,19
3576,"0603",115,19
3158,"0604",105,19
3458,"0605",112,19
3492,"0606",116,19
3562,"0607",115,19
3679,"0608",119,19
3487,"0609",116,19
3481,"0610",112,19
3251,"0611",108,19
3299,"0612",106,19
3312,"0301",107,20
3008,"0302",107,20
3186,"0303",103,20
3217,"0304",107,20
3338,"0305",108,20
3278,"0306",109,20
3542,"0307",114,20
3508,"0308",113,20
3372,"0309",112,20
3369,"0310",109,20
3033,"0311",101,20
3313,"0312",107,20
3130,"0401",101,20
3050,"0402",105,20
3422,"0403",110,20
3284,"0404",109,20
