"","number","monthYear","stateBirths","states","div"
"459","01","7-1994",5383,"Alabama","4"
"460","01","7-1995",5192,"Alabama","4"
"461","01","7-1996",5430,"Alabama","4"
"462","01","7-1997",5478,"Alabama","4"
"463","01","7-1998",5382,"Alabama","4"
"464","01","7-1999",5466,"Alabama","4"
"465","01","7-2000",5490,"Alabama","4"
"466","01","7-2001",5220,"Alabama","4"
"467","01","7-2002",5126,"Alabama","4"
"468","01","7-2003",5292,"Alabama","4"
"469","01","7-2004",5132,"Alabama","4"
"470","01","7-2005",5108,"Alabama","4"
"471","01","7-2006",5376,"Alabama","4"
"472","01","7-2007",5680,"Alabama","4"
"473","01","7-2008",5574,"Alabama","4"
"474","01","7-2009",5635,"Alabama","4"
"475","01","7-2010",5253,"Alabama","4"
"476","01","7-2011",5228,"Alabama","4"
"477","01","7-2012",5141,"Alabama","4"
"478","01","7-2013",5282,"Alabama","4"
"479","01","7-2014",5193,"Alabama","4"
"480","01","7-2015",5339,"Alabama","4"
"481","01","8-1968",2899,"Alabama","4"
"482","01","8-1969",3041,"Alabama","4"
"483","01","8-1970",3049,"Alabama","4"
"484","01","8-1971",3094,"Alabama","4"
"485","01","8-1972",2799,"Alabama","4"
"486","01","8-1973",2776,"Alabama","4"
"487","01","8-1974",2831,"Alabama","4"
"488","01","8-1975",2731,"Alabama","4"
"489","01","8-1976",5276,"Alabama","4"
"490","01","8-1977",5670,"Alabama","4"
"491","01","8-1978",5655,"Alabama","4"
"492","01","8-1979",5965,"Alabama","4"
"493","01","8-1980",5838,"Alabama","4"
"494","01","8-1981",5690,"Alabama","4"
"495","01","8-1982",5574,"Alabama","4"
"496","01","8-1983",5399,"Alabama","4"
"497","01","8-1984",5539,"Alabama","4"
"498","01","8-1985",5364,"Alabama","4"
"499","01","8-1986",5311,"Alabama","4"
"500","01","8-1987",5300,"Alabama","4"
"501","01","8-1988",5702,"Alabama","4"
"502","01","8-1989",5659,"Alabama","4"
"503","01","8-1990",5725,"Alabama","4"
"504","01","8-1991",5713,"Alabama","4"
"505","01","8-1992",5343,"Alabama","4"
"506","01","8-1993",5569,"Alabama","4"
"507","01","8-1994",5577,"Alabama","4"
"508","01","8-1995",5603,"Alabama","4"
"509","01","8-1996",5316,"Alabama","4"
"510","01","8-1997",5427,"Alabama","4"
"511","01","8-1998",5360,"Alabama","4"
"512","01","8-1999",5545,"Alabama","4"
"513","01","8-2000",5736,"Alabama","4"
"514","01","8-2001",5408,"Alabama","4"
"515","01","8-2002",5238,"Alabama","4"
"516","01","8-2003",5215,"Alabama","4"
"517","01","8-2004",5131,"Alabama","4"
"518","01","8-2005",5421,"Alabama","4"
