"","states","M","median","low","high"
"217","Louisiana",1,5556,5457,5587.75
"218","Louisiana",2,4959.5,4868,5073.75
"219","Louisiana",3,5337,5183.5,5363
"220","Louisiana",4,5041,5015.25,5045.75
"221","Louisiana",5,5262,5218,5291.25
"222","Louisiana",6,5269,5092.75,5415.5
"223","Louisiana",7,5794.5,5750,5862.25
"224","Louisiana",8,6093,5985.25,6106.25
"225","Louisiana",9,5940.5,5760.25,5965.5
"226","Louisiana",10,5747.5,5714.75,5792.25
"227","Louisiana",11,5459.5,5392.5,5633
"228","Louisiana",12,5768.5,5651.75,5859.75
"229","Maine",1,1066,1043.75,1087.5
"230","Maine",2,1050,1032.5,1059.75
"231","Maine",3,1161,1159.75,1182.25
"232","Maine",4,1169,1138.75,1195.25
"233","Maine",5,1216,1197.25,1249.5
"234","Maine",6,1185.5,1160,1200.75
"235","Maine",7,1229.5,1173,1249
"236","Maine",8,1210,1200,1231
"237","Maine",9,1183.5,1150.5,1198.25
"238","Maine",10,1134,1114,1149.75
"239","Maine",11,1042,1000,1056.25
"240","Maine",12,1062,1036.25,1079
"241","Maryland",1,5871,5853.75,5984.25
"242","Maryland",2,5459,5391,5583.25
"243","Maryland",3,6151.5,5989.75,6179.25
"244","Maryland",4,5888,5789.25,5959.25
"245","Maryland",5,6173,6034,6272.25
"246","Maryland",6,6027.5,5997.25,6188.25
"247","Maryland",7,6344,6320.75,6385
"248","Maryland",8,6409.5,6298,6480.5
"249","Maryland",9,6285.5,6157.25,6307
"250","Maryland",10,6095,6001.5,6165
"251","Maryland",11,5677,5580.75,5838.75
"252","Maryland",12,5994,5940.25,6054.25
"253","Massachusetts",1,6449,6354.5,6524.25
"254","Massachusetts",2,6051,6021.75,6114.25
"255","Massachusetts",3,6796.5,6724.25,6916.5
"256","Massachusetts",4,6698,6656.75,6720.5
"257","Massachusetts",5,7192,7146.75,7264
"258","Massachusetts",6,6998.5,6923.25,7053.75
"259","Massachusetts",7,7251,7146,7291
"260","Massachusetts",8,7175,7060.25,7257.75
"261","Massachusetts",9,6943.5,6794.75,6994
"262","Massachusetts",10,6773.5,6727.5,6802.75
"263","Massachusetts",11,6252.5,6201,6374
"264","Massachusetts",12,6481,6306.5,6551.75
"265","Michigan",1,10664.5,10629,10831.25
"266","Michigan",2,10214,10091.5,10470
"267","Michigan",3,11458.5,11368,11538.5
"268","Michigan",4,11045,10991.25,11115
"269","Michigan",5,11752.5,11454.5,11844.75
"270","Michigan",6,11483.5,11227.75,11601.75
"271","Michigan",7,11857.5,11739.75,11946.5
"272","Michigan",8,11865,11669.75,11908.75
"273","Michigan",9,11249,11175,11373
"274","Michigan",10,11110,11037.25,11150.25
"275","Michigan",11,10262,10146.5,10271.5
"276","Michigan",12,10588.5,10518.75,10922
"277","Minnesota",1,5041,4960.5,5334.25
"278","Minnesota",2,4957.5,4873.75,5117
"279","Minnesota",3,5635,5472.25,5681.75
"280","Minnesota",4,5555,5360.25,5629.75
"281","Minnesota",5,5832.5,5755.5,5893.5
"282","Minnesota",6,5673.5,5523.75,5750.25
"283","Minnesota",7,5835,5731.75,5860.25
"284","Minnesota",8,5724,5660,5988.5
"285","Minnesota",9,5585.5,5452.75,5660.5
"286","Minnesota",10,5434.5,5392.25,5656.25
"287","Minnesota",11,5058.5,4951.25,5242
"288","Minnesota",12,5287.5,5086.5,5409.75
"289","Mississippi",1,3525,3513.75,3575
"290","Mississippi",2,3195,3065,3279.75
"291","Mississippi",3,3398,3309.75,3472.25
"292","Mississippi",4,3156.5,3112.5,3234.25
"293","Mississippi",5,3320,3290,3364
"294","Mississippi",6,3390.5,3328.75,3472.5
"295","Mississippi",7,3746.5,3710.25,3810.75
"296","Mississippi",8,3832,3747.25,3877.5
"297","Mississippi",9,3690,3621.5,3769.25
"298","Mississippi",10,3639,3547.25,3673
"299","Mississippi",11,3416,3396,3539
"300","Mississippi",12,3660,3615.5,3795.75
"301","Missouri",1,6135.5,6011.5,6259
"302","Missouri",2,5695,5605.75,5843.75
"303","Missouri",3,6278.5,6076.5,6388.5
"304","Missouri",4,6032,5915.25,6060.5
"305","Missouri",5,6255.5,6200,6354.5
"306","Missouri",6,6182.5,6144,6306
"307","Missouri",7,6643.5,6580.75,6692.25
"308","Missouri",8,6638,6493.25,6779.75
"309","Missouri",9,6462,6347.5,6597.5
"310","Missouri",10,6342.5,6314.25,6384.75
"311","Missouri",11,5918,5884.25,5937.75
"312","Missouri",12,6230,6133,6313
"313","Montana",1,869,836.75,887.25
"314","Montana",2,849.5,822.25,866.25
"315","Montana",3,941.5,932.75,963
"316","Montana",4,901,889.5,919
"317","Montana",5,993.5,978.75,996
"318","Montana",6,950,925.25,966.75
