"","County","M","median","low","high"
"462",6087,6,290,270,310
"463",6087,7,300,290,310
"464",6087,8,300,270,320
"465",6087,9,290,280,300
"466",6087,10,290,260,310
"467",6087,11,260,250,280
"468",6087,12,280,260,290
"469",6089,1,170,160,180
"470",6089,2,160,150,160
"471",6089,3,180,170,190
"472",6089,4,170,160,170
"473",6089,5,170,160,180
"474",6089,6,170,160,180
"475",6089,7,180,180,190
"476",6089,8,190,180,190
"477",6089,9,180,170,200
"478",6089,10,160,160,180
"479",6089,11,160,150,170
"480",6089,12,160,160,180
"481",6095,1,460,420,480
"482",6095,2,410,390,440
"483",6095,3,460,430,480
"484",6095,4,460,440,470
"485",6095,5,450,440,480
"486",6095,6,460,430,490
"487",6095,7,480,460,510
"488",6095,8,500,470,510
"489",6095,9,490,470,500
"490",6095,10,480,460,500
"491",6095,11,450,420,470
"492",6095,12,460,430,490
"493",6097,1,450,400,470
"494",6097,2,410,400,440
"495",6097,3,480,430,490
"496",6097,4,450,430,480
"497",6097,5,480,460,500
"498",6097,6,470,440,490
"499",6097,7,490,460,500
"500",6097,8,480,470,520
"501",6097,9,480,460,500
"502",6097,10,460,440,500
"503",6097,11,440,410,450
"504",6097,12,430,420,460
"505",6099,1,620,600,660
"506",6099,2,580,540,600
"507",6099,3,630,620,660
"508",6099,4,620,580,660
"509",6099,5,640,620,700
"510",6099,6,630,600,650
"511",6099,7,670,660,710
"512",6099,8,670,640,720
"513",6099,9,680,640,720
"514",6099,10,680,640,710
"515",6099,11,630,590,650
"516",6099,12,650,610,680
"517",6107,1,620,580,670
"518",6107,2,560,530,620
"519",6107,3,620,580,690
"520",6107,4,570,560,600
"521",6107,5,620,590,640
"522",6107,6,640,580,680
"523",6107,7,670,640,730
"524",6107,8,700,660,730
"525",6107,9,690,640,750
"526",6107,10,660,640,710
"527",6107,11,630,590,640
"528",6107,12,650,610,680
"529",6111,1,950,900,970
"530",6111,2,880,840,910
"531",6111,3,970,920,990
"532",6111,4,920,890,960
"533",6111,5,930,890,1000
"534",6111,6,950,930,970
"535",6111,7,1000,930,1020
"536",6111,8,1020,980,1060
"537",6111,9,1000,940,1050
"538",6111,10,1000,910,1050
"539",6111,11,930,890,960
"540",6111,12,950,890,990
"541",6113,1,190,180,200
"542",6113,2,180,160,180
"543",6113,3,200,180,210
"544",6113,4,180,180,200
"545",6113,5,190,180,210
"546",6113,6,210,190,220
"547",6113,7,210,200,220
"548",6113,8,210,200,230
"549",6113,9,210,200,220
"550",6113,10,210,190,220
"551",6113,11,190,170,200
"552",6113,12,200,180,210
"553",8001,1,540,480,550
"554",8001,2,490,470,520
"555",8001,3,550,500,580
"556",8001,4,540,480,560
"557",8001,5,550,530,590
"558",8001,6,550,520,590
"559",8001,7,590,530,620
"560",8001,8,600,490,620
"561",8001,9,580,540,600
"562",8001,10,540,500,580
"563",8001,11,510,480,540
"564",8001,12,530,500,560
"565",8005,1,600,570,620
"566",8005,2,550,540,590
"567",8005,3,620,600,660
"568",8005,4,620,570,660
"569",8005,5,640,600,660
"570",8005,6,630,590,640
"571",8005,7,660,600,710
"572",8005,8,670,610,690
"573",8005,9,660,600,670
"574",8005,10,620,600,660
"575",8005,11,600,570,630
"576",8005,12,620,580,650
"577",8013,1,260,240,290
"578",8013,2,250,230,270
"579",8013,3,280,270,300
"580",8013,4,270,250,300
"581",8013,5,290,260,320
"582",8013,6,290,270,310
"583",8013,7,300,270,310
"584",8013,8,290,280,310
"585",8013,9,280,270,300
"586",8013,10,270,260,300
"587",8013,11,260,240,270
"588",8013,12,270,240,290
"589",8031,1,850,820,920
"590",8031,2,770,750,860
"591",8031,3,870,820,950
"592",8031,4,850,790,920
"593",8031,5,930,820,980
"594",8031,6,890,830,960
"595",8031,7,940,910,1000
"596",8031,8,940,910,970
"597",8031,9,890,860,970
"598",8031,10,890,840,940
"599",8031,11,850,780,880
"600",8031,12,850,810,920
"601",8041,1,690,650,720
"602",8041,2,660,630,700
"603",8041,3,730,680,760
"604",8041,4,700,680,730
"605",8041,5,730,700,770
"606",8041,6,720,690,750
"607",8041,7,740,720,790
"608",8041,8,750,700,800
"609",8041,9,760,720,800
"610",8041,10,710,690,740
"611",8041,11,680,620,720
"612",8041,12,720,670,790
"613",8059,1,490,450,510
"614",8059,2,460,450,490
"615",8059,3,530,500,560
