"","states","M","median","low","high"
"371","New Jersey",11,300,284,304
"372","New Jersey",12,298,289,303
"373","New Mexico",1,72,71,75
"374","New Mexico",2,74,73,76
"375","New Mexico",3,74,71,76
"376","New Mexico",4,73,70,77
"377","New Mexico",5,74,73,77
"378","New Mexico",6,75,74,79
"379","New Mexico",7,78,77,80
"380","New Mexico",8,80,78,82
"381","New Mexico",9,80,78,84
"382","New Mexico",10,76,73,79
"383","New Mexico",11,74,71,77
"384","New Mexico",12,73,72,76
"385","New York",1,663,641,674
"386","New York",2,677,650,688
"387","New York",3,679,660,697
"388","New York",4,684,646,691
"389","New York",5,691,662,709
"390","New York",6,709,695,716
"391","New York",7,715,694,729
"392","New York",8,715,693,725
"393","New York",9,709,698,727
"394","New York",10,688,667,695
"395","New York",11,665,655,678
"396","New York",12,661,645,681
"397","North Carolina",1,321,307,326
"398","North Carolina",2,322,317,330
"399","North Carolina",3,317,308,331
"400","North Carolina",4,317,305,325
"401","North Carolina",5,317,312,319
"402","North Carolina",6,327,317,337
"403","North Carolina",7,339,332,345
"404","North Carolina",8,346,334,352
"405","North Carolina",9,347,337,356
"406","North Carolina",10,331,318,337
"407","North Carolina",11,327,306,336
"408","North Carolina",12,327,315,337
"409","North Dakota",1,22,20,24
"410","North Dakota",2,23,22,25
"411","North Dakota",3,23,22,25
"412","North Dakota",4,24,22,26
"413","North Dakota",5,24,22,26
"414","North Dakota",6,25,22,27
"415","North Dakota",7,25,23,27
"416","North Dakota",8,24,23,27
"417","North Dakota",9,24,23,26
"418","North Dakota",10,23,21,25
"419","North Dakota",11,23,21,25
"420","North Dakota",12,23,21,24
"421","Ohio",1,388,366,394
"422","Ohio",2,407,376,415
"423","Ohio",3,409,388,419
"424","Ohio",4,404,382,412
"425","Ohio",5,407,385,416
"426","Ohio",6,420,399,428
"427","Ohio",7,427,408,434
"428","Ohio",8,425,404,433
"429","Ohio",9,428,406,438
"430","Ohio",10,407,390,413
"431","Ohio",11,387,370,392
"432","Ohio",12,392,380,398
"433","Oklahoma",1,137,132,142
"434","Oklahoma",2,140,134,144
"435","Oklahoma",3,139,133,142
"436","Oklahoma",4,137,130,141
"437","Oklahoma",5,134,131,141
"438","Oklahoma",6,142,137,148
"439","Oklahoma",7,146,142,151
"440","Oklahoma",8,146,142,155
"441","Oklahoma",9,150,144,155
"442","Oklahoma",10,143,135,148
"443","Oklahoma",11,139,130,144
"444","Oklahoma",12,140,138,147
"445","Oregon",1,117,115,120
"446","Oregon",2,122,118,125
"447","Oregon",3,125,122,129
"448","Oregon",4,127,124,130
"449","Oregon",5,129,127,130
"450","Oregon",6,131,126,134
"451","Oregon",7,129,128,133
"452","Oregon",8,130,125,132
"453","Oregon",9,129,128,131
"454","Oregon",10,121,120,124
"455","Oregon",11,118,117,119
"456","Oregon",12,119,117,123
"457","Pennsylvania",1,375,372,385
"458","Pennsylvania",2,390,382,404
"459","Pennsylvania",3,395,384,402
"460","Pennsylvania",4,395,386,402
"461","Pennsylvania",5,402,393,410
"462","Pennsylvania",6,410,406,414
"463","Pennsylvania",7,416,409,422
"464","Pennsylvania",8,416,408,421
"465","Pennsylvania",9,415,411,427
"466","Pennsylvania",10,392,388,399
"467","Pennsylvania",11,378,374,387
"468","Pennsylvania",12,380,375,384
"469","Rhode Island",1,32,30,33
"470","Rhode Island",2,33,30,34
"471","Rhode Island",3,34,31,35
"472","Rhode Island",4,34,31,35
"473","Rhode Island",5,35,31,36
"474","Rhode Island",6,35,32,36
"475","Rhode Island",7,35,32,37
"476","Rhode Island",8,35,33,36
"477","Rhode Island",9,34,32,36
"478","Rhode Island",10,34,31,35
"479","Rhode Island",11,32,30,33
"480","Rhode Island",12,31,29,32
"481","South Carolina",1,151,146,159
"482","South Carolina",2,155,149,157
"483","South Carolina",3,152,146,158
"484","South Carolina",4,147,142,152
"485","South Carolina",5,148,144,152
"486","South Carolina",6,155,147,161
"487","South Carolina",7,159,155,164
"488","South Carolina",8,164,155,168
"489","South Carolina",9,164,158,170
"490","South Carolina",10,155,152,161
"491","South Carolina",11,154,149,157
"492","South Carolina",12,161,152,165
"493","South Dakota",1,29,26,31
"494","South Dakota",2,31,29,33
"495","South Dakota",3,32,29,33
"496","South Dakota",4,31,29,33
"497","South Dakota",5,33,30,33
"498","South Dakota",6,32,29,35
"499","South Dakota",7,33,30,35
"500","South Dakota",8,32,30,34
"501","South Dakota",9,33,30,34
"502","South Dakota",10,31,28,32
"503","South Dakota",11,30,28,32
"504","South Dakota",12,30,29,31
"505","Tennessee",1,212,207,216
"506","Tennessee",2,217,212,221
"507","Tennessee",3,214,210,218
"508","Tennessee",4,211,203,217
"509","Tennessee",5,212,203,217
"510","Tennessee",6,220,214,225
"511","Tennessee",7,226,219,231
"512","Tennessee",8,229,219,235
"513","Tennessee",9,231,224,239
"514","Tennessee",10,215,210,223
"515","Tennessee",11,215,210,221
"516","Tennessee",12,221,211,225
"517","Texas",1,1001,964,1063
"518","Texas",2,1011,969,1062
"519","Texas",3,991,956,1032
"520","Texas",4,985,910,1015
"521","Texas",5,987,951,1026
"522","Texas",6,1035,982,1079
"523","Texas",7,1064,1018,1110
"524","Texas",8,1108,1062,1148
"525","Texas",9,1119,1058,1177
"526","Texas",10,1064,1025,1109
"527","Texas",11,1056,1006,1080
"528","Texas",12,1064,985,1110
"529","Utah",1,126,115,129
"530","Utah",2,132,127,139
"531","Utah",3,140,133,147
"532","Utah",4,141,132,147
"533","Utah",5,146,136,149
"534","Utah",6,146,138,152
"535","Utah",7,147,133,151
"536","Utah",8,144,134,151
"537","Utah",9,142,132,147
"538","Utah",10,134,125,142
"539","Utah",11,126,123,133
"540","Utah",12,129,119,132
"541","Vermont",1,16,15,17
"542","Vermont",2,17,16,17
"543","Vermont",3,18,17,19
"544","Vermont",4,18,17,19
"545","Vermont",5,19,18,19
"546","Vermont",6,19,18,20
"547","Vermont",7,18,18,19
"548","Vermont",8,18,18,19
"549","Vermont",9,18,17,19
"550","Vermont",10,17,16,18
"551","Vermont",11,16,15,17
"552","Vermont",12,16,16,16
"553","Virginia",1,266,259,273
"554","Virginia",2,274,266,279
"555","Virginia",3,274,264,281
"556","Virginia",4,271,258,281
"557","Virginia",5,276,266,281
"558","Virginia",6,283,272,291
"559","Virginia",7,290,273,297
"560","Virginia",8,290,283,298
"561","Virginia",9,297,285,306
"562","Virginia",10,278,270,286
"563","Virginia",11,272,262,277
"564","Virginia",12,274,261,282
"565","Washington",1,210,206,224
"566","Washington",2,224,216,231
"567","Washington",3,229,222,239
"568","Washington",4,231,221,240
"569","Washington",5,233,225,247
"570","Washington",6,243,228,253
"571","Washington",7,238,228,249
"572","Washington",8,235,225,252
"573","Washington",9,238,224,252
"574","Washington",10,223,212,241
"575","Washington",11,222,203,227
"576","Washington",12,219,208,232
"577","West Virginia",1,55,53,56
"578","West Virginia",2,56,55,56
"579","West Virginia",3,56,55,58
"580","West Virginia",4,56,55,56
"581","West Virginia",5,56,55,57
"582","West Virginia",6,58,56,59
"583","West Virginia",7,60,58,61
"584","West Virginia",8,60,59,61
"585","West Virginia",9,60,60,63
"586","West Virginia",10,57,56,59
"587","West Virginia",11,54,54,56
"588","West Virginia",12,55,54,57
"589","Wisconsin",1,175,172,180
"590","Wisconsin",2,183,179,189
"591","Wisconsin",3,190,184,195
"592","Wisconsin",4,191,186,194
"593","Wisconsin",5,192,188,200
"594","Wisconsin",6,199,193,203
"595","Wisconsin",7,196,195,198
"596","Wisconsin",8,196,192,198
"597","Wisconsin",9,195,192,200
"598","Wisconsin",10,184,181,187
"599","Wisconsin",11,176,174,181
"600","Wisconsin",12,180,176,184
"601","Wyoming",1,18,16,20
"602","Wyoming",2,18,17,20
"603","Wyoming",3,20,18,21
"604","Wyoming",4,20,17,21
"605","Wyoming",5,21,18,23
"606","Wyoming",6,20,18,22
"607","Wyoming",7,20,18,22
"608","Wyoming",8,20,18,22
"609","Wyoming",9,21,18,22
"610","Wyoming",10,18,18,21
"611","Wyoming",11,18,17,19
"612","Wyoming",12,19,17,20
